"date","pagePath","deviceCategory","sessions","engagedSessions","engagementRate","avgSessionDuration","pagesPerSession","newUsers","totalUsers","bounceRate"
"2026-06-30","/products/paramount-pave-diamond-mens-ring","mobile","283","187","66.08","58.8","1.14","210","271","33.92"
"2026-07-01","/","desktop","224","164","73.21","236.1","1.37","67","157","26.79"
"2026-07-01","/","mobile","1611","800","49.66","75.4","1.22","833","1483","50.34"
"2026-07-01","/checkout/cart","desktop","24","21","87.50","232.9","1.88","0","20","12.50"
"2026-07-01","/checkout/cart","mobile","306","295","96.41","54.1","1.60","1","273","3.59"
"2026-07-01","/collections/all-rings","desktop","18","8","44.44","47.1","1.00","11","17","55.56"
"2026-07-01","/collections/all-rings","mobile","258","85","32.95","36.3","1.12","149","252","67.05"
"2026-07-01","/collections/eterna","desktop","2","2","100.00","21.9","1.00","0","2","0.00"
"2026-07-01","/collections/eterna","mobile","4","3","75.00","14.6","1.00","0","3","25.00"
"2026-07-01","/products/corinthian-pave-diamond-mens-ring","mobile","34","27","79.41","31.7","1.24","18","34","20.59"
"2026-07-01","/products/paramount-pave-diamond-mens-ring","desktop","7","4","57.14","24.2","0.71","4","7","42.86"
"2026-07-01","/products/paramount-pave-diamond-mens-ring","mobile","272","174","63.97","51.9","1.20","196","265","36.03"
"2026-07-02","/","desktop","268","179","66.79","178.4","1.19","60","180","33.21"
"2026-07-02","/","mobile","1744","815","46.73","83.8","1.22","918","1585","53.27"
"2026-07-02","/checkout/cart","desktop","17","17","100.00","66.9","1.47","0","15","0.00"
"2026-07-02","/checkout/cart","mobile","322","314","97.52","30.1","1.30","2","301","2.48"
"2026-07-02","/collections/all-rings","desktop","9","3","33.33","15.0","0.89","6","8","66.67"
"2026-07-02","/collections/all-rings","mobile","212","63","29.72","50.0","1.13","96","195","70.28"
"2026-07-02","/collections/eterna","desktop","3","3","100.00","376.6","1.33","0","3","0.00"
"2026-07-02","/collections/eterna","mobile","1","0","0.00","0.0","1.00","0","1","100.00"
"2026-07-02","/products/corinthian-pave-diamond-mens-ring","desktop","3","3","100.00","25.0","1.00","1","2","0.00"
"2026-07-02","/products/corinthian-pave-diamond-mens-ring","mobile","33","19","57.58","45.3","1.12","22","32","42.42"
"2026-07-02","/products/paramount-pave-diamond-mens-ring","desktop","12","8","66.67","43.8","1.17","5","10","33.33"
"2026-07-02","/products/paramount-pave-diamond-mens-ring","mobile","319","196","61.44","61.6","1.18","230","311","38.56"
"2026-07-03","/","desktop","198","125","63.13","172.3","1.36","62","156","36.87"
"2026-07-03","/","mobile","1647","803","48.76","88.8","1.24","843","1492","51.24"
"2026-07-03","/checkout/cart","desktop","23","19","82.61","138.4","1.57","0","19","17.39"
"2026-07-03","/checkout/cart","mobile","351","340","96.87","59.9","1.38","1","312","3.13"
"2026-07-03","/collections/all-rings","desktop","6","6","100.00","32.9","0.67","1","6","0.00"
"2026-07-03","/collections/all-rings","mobile","260","92","35.38","44.1","1.11","113","254","64.62"
"2026-07-03","/collections/eterna","mobile","2","2","100.00","41.3","1.00","0","2","0.00"
"2026-07-03","/products/corinthian-pave-diamond-mens-ring","desktop","1","1","100.00","251.9","1.00","0","1","0.00"
"2026-07-03","/products/corinthian-pave-diamond-mens-ring","mobile","49","34","69.39","42.2","1.33","23","47","30.61"
"2026-07-03","/products/paramount-pave-diamond-mens-ring","desktop","5","3","60.00","39.7","0.80","3","4","40.00"
"2026-07-03","/products/paramount-pave-diamond-mens-ring","mobile","301","182","60.47","50.6","1.20","231","293","39.53"
"2026-07-04","/","desktop","172","116","67.44","158.1","1.10","39","123","32.56"
"2026-07-04","/","mobile","1390","718","51.65","125.3","1.23","626","1238","48.35"
"2026-07-04","/checkout/cart","desktop","11","8","72.73","29.8","1.09","0","10","27.27"
"2026-07-04","/checkout/cart","mobile","330","320","96.97","47.1","1.36","4","304","3.03"
"2026-07-04","/collections/all-rings","mobile","183","84","45.90","55.0","1.23","84","172","54.10"
"2026-07-04","/collections/eterna","desktop","1","0","0.00","0.0","1.00","0","1","100.00"
"2026-07-04","/collections/eterna","mobile","3","3","100.00","80.0","2.00","0","3","0.00"
"2026-07-04","/products/corinthian-pave-diamond-mens-ring","mobile","71","51","71.83","110.3","1.32","39","67","28.17"
"2026-07-04","/products/paramount-pave-diamond-mens-ring","desktop","8","7","87.50","54.1","1.12","3","7","12.50"
"2026-07-04","/products/paramount-pave-diamond-mens-ring","mobile","285","169","59.30","45.6","1.18","217","280","40.70"
"2026-07-05","/","desktop","78","54","69.23","157.1","1.29","30","62","30.77"
"2026-07-05","/","mobile","1622","751","46.30","93.6","1.23","854","1477","53.70"
"2026-07-05","/checkout/cart","desktop","5","5","100.00","178.8","2.60","1","5","0.00"
"2026-07-05","/checkout/cart","mobile","290","283","97.59","49.2","1.34","5","278","2.41"
"2026-07-05","/collections/all-rings","desktop","2","2","100.00","16.7","1.00","1","2","0.00"
"2026-07-05","/collections/all-rings","mobile","208","73","35.10","43.1","1.18","108","199","64.90"
"2026-07-05","/products/corinthian-pave-diamond-mens-ring","desktop","2","0","0.00","5.0","1.00","2","2","100.00"
"2026-07-05","/products/corinthian-pave-diamond-mens-ring","mobile","73","49","67.12","87.0","1.23","44","72","32.88"
"2026-07-05","/products/paramount-pave-diamond-mens-ring","desktop","6","3","50.00","3.3","0.67","1","4","50.00"
"2026-07-05","/products/paramount-pave-diamond-mens-ring","mobile","341","222","65.10","63.9","1.16","244","328","34.90"
"2026-07-06","/","desktop","184","128","69.57","203.8","1.45","57","139","30.43"
"2026-07-06","/","mobile","1579","751","47.56","83.9","1.24","790","1410","52.44"
"2026-07-06","/checkout/cart","desktop","11","9","81.82","231.0","3.09","0","9","18.18"
"2026-07-06","/checkout/cart","mobile","294","290","98.64","66.8","1.34","2","267","1.36"
"2026-07-06","/collections/all-rings","desktop","1","1","100.00","1081.7","1.00","0","1","0.00"
"2026-07-06","/collections/all-rings","mobile","191","69","36.13","248.8","1.11","104","184","63.87"
"2026-07-06","/collections/eterna","mobile","2","2","100.00","44.7","1.50","0","2","0.00"
"2026-07-06","/products/corinthian-pave-diamond-mens-ring","mobile","83","53","63.86","71.2","1.17","58","82","36.14"
"2026-07-06","/products/paramount-pave-diamond-mens-ring","desktop","2","2","100.00","130.4","1.00","2","2","0.00"
"2026-07-06","/products/paramount-pave-diamond-mens-ring","mobile","241","156","64.73","74.3","1.19","166","233","35.27"
"2026-07-07","/","desktop","285","173","60.70","157.6","1.45","123","226","39.30"
"2026-07-07","/","mobile","1673","717","42.86","64.6","1.20","916","1531","57.14"
"2026-07-07","/checkout/cart","desktop","15","14","93.33","138.3","2.67","0","14","6.67"
"2026-07-07","/checkout/cart","mobile","314","307","97.77","45.7","1.28","5","296","2.23"
"2026-07-07","/collections/all-rings","mobile","213","60","28.17","29.0","1.09","124","212","71.83"
"2026-07-07","/collections/eterna","desktop","1","1","100.00","6.2","1.00","0","1","0.00"
"2026-07-07","/collections/eterna","mobile","2","2","100.00","89.3","2.00","0","2","0.00"
"2026-07-07","/products/corinthian-pave-diamond-mens-ring","desktop","4","2","50.00","9.9","1.00","3","4","50.00"
"2026-07-07","/products/corinthian-pave-diamond-mens-ring","mobile","124","81","65.32","66.1","1.21","84","119","34.68"
"2026-07-07","/products/paramount-pave-diamond-mens-ring","desktop","6","2","33.33","10.4","0.67","2","4","66.67"
"2026-07-07","/products/paramount-pave-diamond-mens-ring","mobile","364","217","59.62","50.6","1.18","260","344","40.38"
"2026-07-08","/","desktop","257","170","66.15","202.8","1.32","71","174","33.85"
"2026-07-08","/","mobile","1456","680","46.70","127.3","1.28","734","1331","53.30"
"2026-07-08","/checkout/cart","desktop","36","34","94.44","247.1","3.19","1","24","5.56"
"2026-07-08","/checkout/cart","mobile","329","322","97.87","53.8","1.32","3","305","2.13"
"2026-07-08","/collections/all-rings","desktop","2","2","100.00","2.5","1.00","0","1","0.00"
"2026-07-08","/collections/all-rings","mobile","268","74","27.61","20.8","1.07","135","262","72.39"
"2026-07-08","/collections/eterna","desktop","7","6","85.71","424.1","1.43","1","6","14.29"
"2026-07-08","/collections/eterna","mobile","1","1","100.00","19.7","1.00","0","1","0.00"
"2026-07-08","/products/corinthian-pave-diamond-mens-ring","desktop","4","3","75.00","337.7","1.00","3","4","25.00"
"2026-07-08","/products/corinthian-pave-diamond-mens-ring","mobile","126","103","81.75","49.6","1.22","91","123","18.25"
"2026-07-08","/products/paramount-pave-diamond-mens-ring","desktop","6","5","83.33","36.9","1.00","1","6","16.67"
"2026-07-08","/products/paramount-pave-diamond-mens-ring","mobile","381","200","52.49","52.5","1.17","298","369","47.51"
"2026-07-09","/","desktop","229","148","64.63","182.2","1.23","59","156","35.37"
"2026-07-09","/","mobile","1342","652","48.58","79.3","1.22","624","1211","51.42"
"2026-07-09","/checkout/cart","desktop","29","26","89.66","115.6","1.45","0","20","10.34"
"2026-07-09","/checkout/cart","mobile","306","297","97.06","35.8","1.42","3","279","2.94"
"2026-07-09","/collections/all-rings","mobile","208","75","36.06","41.4","1.12","108","205","63.94"
"2026-07-09","/collections/eterna","desktop","3","3","100.00","668.0","4.00","0","2","0.00"
"2026-07-09","/collections/eterna","mobile","6","4","66.67","41.9","1.17","0","5","33.33"
"2026-07-09","/products/corinthian-pave-diamond-mens-ring","desktop","3","2","66.67","36.9","1.00","2","3","33.33"
"2026-07-09","/products/corinthian-pave-diamond-mens-ring","mobile","254","173","68.11","76.8","1.31","186","247","31.89"
"2026-07-09","/products/paramount-pave-diamond-mens-ring","desktop","6","4","66.67","116.2","1.17","3","6","33.33"
"2026-07-09","/products/paramount-pave-diamond-mens-ring","mobile","458","294","64.19","75.4","1.20","320","438","35.81"
"2026-07-10","/","desktop","286","201","70.28","253.7","1.52","78","196","29.72"
"2026-07-10","/","mobile","1430","719","50.28","98.9","1.23","650","1289","49.72"
"2026-07-10","/checkout/cart","desktop","40","33","82.50","89.0","2.92","0","28","17.50"
"2026-07-10","/checkout/cart","mobile","321","309","96.26","49.5","1.25","7","289","3.74"
"2026-07-10","/collections/all-rings","desktop","1","1","100.00","0.0","1.00","0","1","0.00"
"2026-07-10","/collections/all-rings","mobile","228","89","39.04","36.1","1.18","110","219","60.96"
"2026-07-10","/collections/eterna","desktop","86","54","62.79","198.4","1.60","25","63","37.21"
"2026-07-10","/collections/eterna","mobile","292","205","70.21","88.6","1.23","91","286","29.79"
"2026-07-10","/products/corinthian-pave-diamond-mens-ring","desktop","1","1","100.00","37.6","1.00","0","1","0.00"
"2026-07-10","/products/corinthian-pave-diamond-mens-ring","mobile","157","100","63.69","79.6","1.22","114","154","36.31"
"2026-07-10","/products/paramount-pave-diamond-mens-ring","desktop","14","10","71.43","58.1","0.71","1","8","28.57"
"2026-07-10","/products/paramount-pave-diamond-mens-ring","mobile","324","205","63.27","71.5","1.18","237","319","36.73"
"2026-07-11","/","desktop","204","149","73.04","230.4","1.28","64","144","26.96"
"2026-07-11","/","mobile","1196","618","51.67","81.6","1.22","549","1079","48.33"
"2026-07-11","/checkout/cart","desktop","23","18","78.26","123.1","2.04","1","15","21.74"
"2026-07-11","/checkout/cart","mobile","270","264","97.78","39.8","1.28","4","254","2.22"
"2026-07-11","/collections/all-rings","desktop","6","0","0.00","5.7","1.00","6","6","100.00"
"2026-07-11","/collections/all-rings","mobile","230","77","33.48","28.5","1.16","124","215","66.52"
"2026-07-11","/collections/eterna","desktop","33","18","54.55","81.3","1.15","7","25","45.45"
"2026-07-11","/collections/eterna","mobile","822","516","62.77","103.1","1.32","216","759","37.23"
"2026-07-11","/products/corinthian-pave-diamond-mens-ring","desktop","7","7","100.00","244.1","1.00","5","7","0.00"
"2026-07-11","/products/corinthian-pave-diamond-mens-ring","mobile","234","164","70.09","60.5","1.19","180","230","29.91"
"2026-07-11","/products/paramount-pave-diamond-mens-ring","desktop","13","10","76.92","117.4","1.08","5","11","23.08"
"2026-07-11","/products/paramount-pave-diamond-mens-ring","mobile","309","205","66.34","56.5","1.12","215","305","33.66"
"2026-07-12","/","desktop","93","64","68.82","83.9","1.11","39","75","31.18"
"2026-07-12","/","mobile","1313","675","51.41","90.2","1.24","599","1174","48.59"
"2026-07-12","/checkout/cart","desktop","7","7","100.00","236.8","1.00","0","6","0.00"
"2026-07-12","/checkout/cart","mobile","311","297","95.50","38.2","1.32","2","287","4.50"
"2026-07-12","/collections/all-rings","desktop","1","1","100.00","5.0","1.00","0","1","0.00"
"2026-07-12","/collections/all-rings","mobile","190","66","34.74","37.7","1.14","102","187","65.26"
"2026-07-12","/collections/eterna","desktop","6","6","100.00","191.8","1.00","0","5","0.00"
"2026-07-12","/collections/eterna","mobile","920","545","59.24","63.7","1.25","305","858","40.76"
"2026-07-12","/products/corinthian-pave-diamond-mens-ring","desktop","3","3","100.00","90.9","1.00","2","3","0.00"
"2026-07-12","/products/corinthian-pave-diamond-mens-ring","mobile","271","185","68.27","77.3","1.23","209","262","31.73"
"2026-07-12","/products/paramount-pave-diamond-mens-ring","desktop","8","6","75.00","155.1","0.88","4","7","25.00"
"2026-07-12","/products/paramount-pave-diamond-mens-ring","mobile","341","232","68.04","84.9","1.26","238","333","31.96"
"2026-07-13","/","desktop","217","143","65.90","181.1","1.42","84","173","34.10"
"2026-07-13","/","mobile","1230","695","56.50","102.8","1.24","527","1111","43.50"
"2026-07-13","/checkout/cart","desktop","21","20","95.24","144.4","3.43","0","19","4.76"
"2026-07-13","/checkout/cart","mobile","268","257","95.90","66.4","1.36","3","249","4.10"
"2026-07-13","/collections/all-rings","mobile","219","79","36.07","72.8","1.11","117","210","63.93"
"2026-07-13","/collections/eterna","desktop","51","33","64.71","197.8","1.27","21","47","35.29"
"2026-07-13","/collections/eterna","mobile","905","576","63.65","77.6","1.29","233","838","36.35"
"2026-07-13","/products/corinthian-pave-diamond-mens-ring","desktop","9","6","66.67","49.4","0.78","3","7","33.33"
"2026-07-13","/products/corinthian-pave-diamond-mens-ring","mobile","273","182","66.67","68.6","1.22","225","267","33.33"
"2026-07-13","/products/paramount-pave-diamond-mens-ring","desktop","15","11","73.33","207.4","0.87","2","11","26.67"
"2026-07-13","/products/paramount-pave-diamond-mens-ring","mobile","288","177","61.46","66.9","1.14","199","282","38.54"
"2026-07-14","/","desktop","226","178","78.76","223.0","1.30","71","166","21.24"
"2026-07-14","/","mobile","1303","652","50.04","79.2","1.19","651","1189","49.96"
"2026-07-14","/checkout/cart","desktop","23","22","95.65","35.8","1.57","0","19","4.35"
"2026-07-14","/checkout/cart","mobile","294","287","97.62","46.8","1.31","3","276","2.38"
"2026-07-14","/collections/all-rings","desktop","2","1","50.00","5.4","1.00","1","2","50.00"
"2026-07-14","/collections/all-rings","mobile","190","50","26.32","30.0","1.13","114","187","73.68"
"2026-07-14","/collections/eterna","desktop","46","38","82.61","90.6","1.17","8","42","17.39"
"2026-07-14","/collections/eterna","mobile","792","512","64.65","112.5","1.40","117","725","35.35"
"2026-07-14","/products/corinthian-pave-diamond-mens-ring","desktop","5","4","80.00","79.2","1.00","5","5","20.00"
"2026-07-14","/products/corinthian-pave-diamond-mens-ring","mobile","309","207","66.99","59.7","1.17","241","299","33.01"
"2026-07-14","/products/paramount-pave-diamond-mens-ring","desktop","15","11","73.33","178.2","1.00","5","13","26.67"
"2026-07-14","/products/paramount-pave-diamond-mens-ring","mobile","233","152","65.24","66.8","1.11","160","226","34.76"
"2026-07-15","/","desktop","219","172","78.54","215.7","1.27","70","157","21.46"
"2026-07-15","/","mobile","1206","665","55.14","150.1","1.32","496","1076","44.86"
"2026-07-15","/checkout/cart","desktop","28","22","78.57","158.8","4.21","0","19","21.43"
"2026-07-15","/checkout/cart","mobile","305","295","96.72","44.1","1.53","4","283","3.28"
"2026-07-15","/collections/all-rings","desktop","2","0","0.00","3.0","1.00","0","2","100.00"
"2026-07-15","/collections/all-rings","mobile","180","55","30.56","35.4","1.12","99","173","69.44"
"2026-07-15","/collections/eterna","desktop","41","25","60.98","103.3","1.32","7","27","39.02"
"2026-07-15","/collections/eterna","mobile","828","550","66.43","76.6","1.36","165","777","33.57"
"2026-07-15","/products/corinthian-pave-diamond-mens-ring","desktop","6","6","100.00","51.5","1.00","2","6","0.00"
"2026-07-15","/products/corinthian-pave-diamond-mens-ring","mobile","274","177","64.60","73.3","1.23","210","265","35.40"
"2026-07-15","/products/paramount-pave-diamond-mens-ring","desktop","9","8","88.89","48.2","1.00","0","9","11.11"
"2026-07-15","/products/paramount-pave-diamond-mens-ring","mobile","272","186","68.38","64.3","1.20","195","264","31.62"
"2026-07-16","/","desktop","234","164","70.09","178.5","1.28","83","162","29.91"
"2026-07-16","/","mobile","1269","677","53.35","86.0","1.23","540","1160","46.65"
"2026-07-16","/checkout/cart","desktop","29","26","89.66","92.4","2.28","0","24","10.34"
"2026-07-16","/checkout/cart","mobile","349","338","96.85","42.2","1.51","4","322","3.15"
"2026-07-16","/collections/all-rings","desktop","1","1","100.00","5.9","1.00","0","1","0.00"
"2026-07-16","/collections/all-rings","mobile","112","36","32.14","32.6","1.11","58","105","67.86"
"2026-07-16","/collections/eterna","desktop","19","9","47.37","45.3","1.37","9","19","52.63"
"2026-07-16","/collections/eterna","mobile","866","535","61.78","70.5","1.26","198","807","38.22"
"2026-07-16","/products/corinthian-pave-diamond-mens-ring","desktop","6","3","50.00","19.9","0.83","5","5","50.00"
"2026-07-16","/products/corinthian-pave-diamond-mens-ring","mobile","304","202","66.45","53.6","1.23","233","294","33.55"
"2026-07-16","/products/paramount-pave-diamond-mens-ring","desktop","7","4","57.14","51.5","1.00","3","6","42.86"
"2026-07-16","/products/paramount-pave-diamond-mens-ring","mobile","250","171","68.40","49.8","1.21","165","247","31.60"
"2026-07-17","/","desktop","296","220","74.32","250.5","1.31","87","198","25.68"
"2026-07-17","/","mobile","1434","783","54.60","93.9","1.28","621","1291","45.40"
"2026-07-17","/checkout/cart","desktop","34","30","88.24","152.3","2.15","0","25","11.76"
"2026-07-17","/checkout/cart","mobile","375","366","97.60","51.3","1.45","3","349","2.40"
"2026-07-17","/collections/all-rings","desktop","4","4","100.00","22.3","1.75","1","4","0.00"
"2026-07-17","/collections/all-rings","mobile","120","51","42.50","54.7","1.12","62","119","57.50"
"2026-07-17","/collections/eterna","desktop","27","22","81.48","125.6","1.63","3","24","18.52"
"2026-07-17","/collections/eterna","mobile","866","561","64.78","81.3","1.35","154","809","35.22"
"2026-07-17","/products/corinthian-pave-diamond-mens-ring","desktop","4","1","25.00","9.6","1.00","3","4","75.00"
"2026-07-17","/products/corinthian-pave-diamond-mens-ring","mobile","315","212","67.30","62.6","1.19","247","306","32.70"
"2026-07-17","/products/paramount-pave-diamond-mens-ring","desktop","14","13","92.86","215.7","1.07","2","13","7.14"
"2026-07-17","/products/paramount-pave-diamond-mens-ring","mobile","295","195","66.10","49.5","1.15","208","291","33.90"
"2026-07-18","/","desktop","261","186","71.26","192.0","1.46","71","176","28.74"
"2026-07-18","/","mobile","1123","612","54.50","89.0","1.22","457","1007","45.50"
"2026-07-18","/checkout/cart","desktop","31","29","93.55","90.5","1.65","1","18","6.45"
"2026-07-18","/checkout/cart","mobile","330","322","97.58","44.9","1.47","2","307","2.42"
"2026-07-18","/collections/all-rings","desktop","3","3","100.00","132.3","1.00","0","2","0.00"
"2026-07-18","/collections/all-rings","mobile","152","56","36.84","16.0","1.26","93","149","63.16"
"2026-07-18","/collections/eterna","desktop","26","18","69.23","94.0","1.85","8","22","30.77"
"2026-07-18","/collections/eterna","mobile","770","486","63.12","79.1","1.26","137","716","36.88"
"2026-07-18","/products/corinthian-pave-diamond-mens-ring","desktop","6","6","100.00","15.7","1.00","4","6","0.00"
"2026-07-18","/products/corinthian-pave-diamond-mens-ring","mobile","338","205","60.65","55.5","1.21","265","325","39.35"
"2026-07-18","/products/paramount-pave-diamond-mens-ring","desktop","19","15","78.95","35.7","0.74","1","13","21.05"
"2026-07-18","/products/paramount-pave-diamond-mens-ring","mobile","296","201","67.91","72.0","1.18","214","290","32.09"
"2026-07-19","/","desktop","91","60","65.93","161.0","1.14","31","71","34.07"
"2026-07-19","/","mobile","1435","711","49.55","114.0","1.22","699","1320","50.45"
"2026-07-19","/checkout/cart","desktop","6","6","100.00","71.9","2.17","0","6","0.00"
"2026-07-19","/checkout/cart","mobile","355","344","96.90","42.6","1.53","2","329","3.10"
"2026-07-19","/collections/all-rings","desktop","1","1","100.00","15.5","3.00","0","1","0.00"
"2026-07-19","/collections/all-rings","mobile","143","49","34.27","16.5","1.17","74","140","65.73"
"2026-07-19","/collections/eterna","desktop","8","4","50.00","25.3","1.25","4","8","50.00"
"2026-07-19","/collections/eterna","mobile","897","549","61.20","92.4","1.28","226","824","38.80"
"2026-07-19","/products/corinthian-pave-diamond-mens-ring","desktop","7","4","57.14","61.3","0.86","4","6","42.86"
"2026-07-19","/products/corinthian-pave-diamond-mens-ring","mobile","391","252","64.45","71.2","1.19","284","372","35.55"
"2026-07-19","/products/paramount-pave-diamond-mens-ring","desktop","10","8","80.00","269.0","1.30","1","10","20.00"
"2026-07-19","/products/paramount-pave-diamond-mens-ring","mobile","365","246","67.40","85.3","1.22","259","347","32.60"
"2026-07-20","/","desktop","238","174","73.11","182.4","1.26","77","178","26.89"
"2026-07-20","/","mobile","1384","690","49.86","77.7","1.20","657","1266","50.14"
"2026-07-20","/checkout/cart","desktop","20","15","75.00","123.7","1.45","0","14","25.00"
"2026-07-20","/checkout/cart","mobile","339","331","97.64","35.4","1.38","3","319","2.36"
"2026-07-20","/collections/all-rings","desktop","2","1","50.00","123.3","1.50","1","2","50.00"
"2026-07-20","/collections/all-rings","mobile","167","56","33.53","64.4","1.08","83","161","66.47"
"2026-07-20","/collections/eterna","desktop","22","17","77.27","54.1","1.05","4","21","22.73"
"2026-07-20","/collections/eterna","mobile","849","532","62.66","81.6","1.33","246","798","37.34"
"2026-07-20","/products/corinthian-pave-diamond-mens-ring","desktop","8","7","87.50","93.1","1.00","5","8","12.50"
"2026-07-20","/products/corinthian-pave-diamond-mens-ring","mobile","371","242","65.23","60.9","1.18","288","364","34.77"
"2026-07-20","/products/paramount-pave-diamond-mens-ring","desktop","28","23","82.14","138.0","1.04","7","21","17.86"
"2026-07-20","/products/paramount-pave-diamond-mens-ring","mobile","351","224","63.82","47.1","1.14","244","337","36.18"
"2026-07-21","/","desktop","245","173","70.61","161.3","1.20","73","171","29.39"
"2026-07-21","/","mobile","1234","657","53.24","73.0","1.20","548","1133","46.76"
"2026-07-21","/checkout/cart","desktop","18","18","100.00","52.7","1.67","0","15","0.00"
"2026-07-21","/checkout/cart","mobile","318","313","98.43","47.5","1.34","2","295","1.57"
"2026-07-21","/collections/all-rings","desktop","1","1","100.00","24.7","1.00","0","1","0.00"
"2026-07-21","/collections/all-rings","mobile","88","32","36.36","51.1","1.11","42","83","63.64"
"2026-07-21","/collections/eterna","desktop","78","41","52.56","130.0","1.46","29","65","47.44"
"2026-07-21","/collections/eterna","mobile","915","559","61.09","83.3","1.23","274","862","38.91"
"2026-07-21","/products/corinthian-pave-diamond-mens-ring","desktop","9","6","66.67","62.1","1.00","4","8","33.33"
"2026-07-21","/products/corinthian-pave-diamond-mens-ring","mobile","370","227","61.35","61.1","1.18","278","355","38.65"
"2026-07-21","/products/paramount-pave-diamond-mens-ring","desktop","17","12","70.59","160.8","1.00","1","13","29.41"
"2026-07-21","/products/paramount-pave-diamond-mens-ring","mobile","322","202","62.73","62.5","1.15","222","313","37.27"
"2026-07-22","/","desktop","223","150","67.26","152.7","1.22","71","164","32.74"
"2026-07-22","/","mobile","1039","603","58.04","99.4","1.25","380","927","41.96"
"2026-07-22","/checkout/cart","desktop","11","11","100.00","217.2","1.64","0","10","0.00"
"2026-07-22","/checkout/cart","mobile","338","326","96.45","36.9","1.30","1","308","3.55"
"2026-07-22","/collections/all-rings","mobile","104","36","34.62","39.7","1.12","56","97","65.38"
"2026-07-22","/collections/eterna","desktop","15","11","73.33","172.3","0.93","3","13","26.67"
"2026-07-22","/collections/eterna","mobile","796","485","60.93","144.2","1.27","164","743","39.07"
"2026-07-22","/products/corinthian-pave-diamond-mens-ring","desktop","14","10","71.43","41.6","1.07","5","11","28.57"
"2026-07-22","/products/corinthian-pave-diamond-mens-ring","mobile","358","244","68.16","56.8","1.18","252","345","31.84"
"2026-07-22","/products/paramount-pave-diamond-mens-ring","desktop","13","7","53.85","197.0","1.00","4","9","46.15"
"2026-07-22","/products/paramount-pave-diamond-mens-ring","mobile","371","228","61.46","53.2","1.14","244","354","38.54"
"2026-07-23","/","desktop","214","152","71.03","214.2","1.18","69","162","28.97"
"2026-07-23","/","mobile","946","586","61.95","125.3","1.39","287","835","38.05"
"2026-07-23","/checkout/cart","desktop","13","12","92.31","115.1","1.54","0","11","7.69"
"2026-07-23","/checkout/cart","mobile","332","316","95.18","52.7","1.29","10","311","4.82"
"2026-07-23","/collections/all-rings","desktop","1","0","0.00","5.8","1.00","1","1","100.00"
"2026-07-23","/collections/all-rings","mobile","203","76","37.44","33.5","1.13","87","198","62.56"
"2026-07-23","/collections/eterna","desktop","56","25","44.64","16.2","0.82","29","52","55.36"
"2026-07-23","/collections/eterna","mobile","717","442","61.65","79.0","1.39","122","664","38.35"
"2026-07-23","/products/corinthian-pave-diamond-mens-ring","desktop","7","1","14.29","6.7","0.71","3","5","85.71"
"2026-07-23","/products/corinthian-pave-diamond-mens-ring","mobile","297","191","64.31","73.4","1.17","215","287","35.69"
"2026-07-23","/products/paramount-pave-diamond-mens-ring","desktop","7","7","100.00","33.9","1.00","2","4","0.00"
