"date","deviceCategory","sessions","totalUsers","bounceRate","userEngagementDuration","screenPageViews"
"20260710","mobile","12942","11459","47.53","351899","21159"
"20260710","tablet","25","25","52","1900","105"
"20260711","desktop","873","680","39.06","46416","1987"
"20260711","mobile","12769","11363","45.44","330818","20549"
"20260711","tablet","28","28","39.29","3085","87"
"20260712","desktop","412","326","40.78","21279","885"
"20260712","mobile","13894","12351","45.02","378910","22445"
"20260712","tablet","25","25","60","1416","52"
"20260713","desktop","2953","2780","34.95","107694","6126"
"20260713","mobile","13268","11728","47.2","369578","20774"
"20260713","tablet","27","26","40.74","1419","39"
"20260714","desktop","3868","3703","32.78","76374","5439"
"20260714","mobile","13369","11752","47.91","332112","20915"
"20260714","tablet","27","27","66.67","675","42"
"20260715","desktop","1350","1131","37.48","80561","3270"
"20260715","mobile","13034","11506","45.96","366086","21360"
"20260715","tablet","22","21","59.09","749","32"
"20260716","desktop","1194","986","37.02","60244","2661"
"20260716","mobile","12976","11635","46.52","362690","21652"
"20260716","tablet","27","27","48.15","3181","54"
"20260717","desktop","1198","953","34.89","69357","2781"
"20260717","mobile","13808","12384","44.87","410279","23319"
"20260717","tablet","34","33","41.18","961","45"
"20260718","desktop","1042","816","36.37","47628","2544"
"20260718","mobile","12825","11693","43.36","376187","21577"
"20260718","tablet","21","21","52.38","2055","42"
"20260719","desktop","452","388","39.6","20545","928"
"20260719","mobile","14722","12918","45.12","426318","24404"
"20260719","tablet","28","27","35.71","1060","49"
"20260720","desktop","1009","785","36.97","44346","2201"
"20260720","mobile","13611","12212","46.1","355477","22118"
"20260720","tablet","38","36","63.16","836","53"
"20260721","desktop","1264","1027","38.29","60739","2912"
"20260721","mobile","13004","12013","45.22","372296","21753"
"20260721","tablet","36","32","47.22","1650","90"
"20260722","desktop","1183","966","37.95","50900","2449"
"20260722","mobile","14059","12324","45.91","364310","22447"
"20260722","tablet","36","31","61.11","291","41"
"20260723","desktop","1835","1636","37.38","57930","3254"
"20260723","mobile","11940","11172","43.39","358805","21378"
"20260723","tablet","45","41","48.89","1412","91"
"20260724","desktop","743","568","39.97","49895","2041"
"20260724","mobile","13054","11457","44.51","367573","21834"
"20260724","tablet","32","31","37.5","1268","66"
"20260725","desktop","1709","1505","33.59","54882","2825"
"20260725","mobile","13056","11752","45","382435","22370"
"20260725","tablet","40","36","75","542","48"
"20260726","desktop","366","266","46.45","28501","1171"
"20260726","mobile","14613","12912","44.97","406788","24190"
"20260726","tablet","48","46","64.58","1038","95"
"20260727","desktop","3598","3316","20.98","126693","5260"
"20260727","mobile","13466","12113","46.37","358253","22792"
"20260727","tablet","65","62","73.85","690","107"
"20260728","desktop","1644","1413","32.79","84628","3039"
"20260728","mobile","13890","12636","47.29","378563","22855"
"20260728","tablet","77","76","81.82","345","84"
"20260729","desktop","1709","1472","37.86","63267","3110"
"20260729","mobile","13149","12156","45.42","359602","22238"
"20260729","tablet","46","43","58.70","993","74"
"20260730","desktop","1743","1530","39.24","65452","2995"
"20260730","mobile","13717","12370","43.94","390957","23241"
"20260730","tablet","25","24","28.00","1439","66"
"20260731","desktop","932","711","39.06","65097","2551"
"20260731","mobile","13919","12656","44.58","383045","22942"
"20260731","tablet","27","24","37.04","2833","76"
"20260801","desktop","686","525","99.56","41863","1529"
"20260801","mobile","14203","12680","99.68","415549","22786"
"20260801","tablet","39","36","100.00","2458","85"
