"date","device","rage_clicks","dead_clicks","scroll_depth_pct"
"2026-07-31","desktop","5","67","42.76"
"2026-07-31","mobile","157","985","26.29"
"2026-07-31","tablet","0","5","44.41"
"2026-08-01","desktop","1","35","42.81"
"2026-08-01","mobile","278","1273","25.91"
"2026-08-01","tablet","0","1","38.00"
"2026-08-02","desktop","2","17","37.13"
"2026-08-02","mobile","347","1545","26.07"
"2026-08-02","tablet","0","0","38.43"
"2026-08-03","desktop","0","41","41.92"
"2026-08-03","mobile","544","1688","26.52"
"2026-08-03","tablet","0","0","36.51"
"2026-08-04","desktop","2","47","39.69"
"2026-08-04","mobile","385","1272","26.72"
"2026-08-04","tablet","0","5","40.92"
"2026-08-05","desktop","3","30","39.96"
"2026-08-05","mobile","253","1345","26.37"
"2026-08-05","tablet","0","9","51.45"
"2026-08-06","desktop","0","41","37.28"
"2026-08-06","mobile","434","1388","26.62"
"2026-08-06","tablet","0","0","44.95"
"2026-08-07","desktop","0","25","38.18"
"2026-08-07","mobile","485","1454","26.62"
"2026-08-07","tablet","0","0","42.85"
"2026-08-10","desktop","5","26","37.24"
"2026-08-10","mobile","398","1397","27.05"
"2026-08-10","tablet","0","0","36.81"
"2026-08-11","desktop","1","38","40.53"
"2026-08-11","mobile","290","1263","27.41"
"2026-08-11","tablet","0","0","26.76"
"2026-08-12","desktop","2","37","41.37"
"2026-08-12","mobile","171","881","26.70"
"2026-08-12","tablet","0","1","48.99"
"2026-08-13","desktop","0","35","40.50"
"2026-08-13","mobile","503","1574","27.32"
"2026-08-13","tablet","0","1","30.27"
"2026-08-14","desktop","3","35","36.93"
"2026-08-14","mobile","461","1446","27.52"
"2026-08-14","tablet","0","1","34.48"
"2026-08-15","desktop","0","9","36.57"
"2026-08-15","mobile","482","1339","27.66"
"2026-08-15","tablet","0","0","35.60"
"2026-08-16","desktop","0","16","36.79"
"2026-08-16","mobile","462","1337","27.21"
"2026-08-16","tablet","0","1","39.91"
"2026-08-17","desktop","2","70","42.49"
"2026-08-17","mobile","224","1068","27.35"
"2026-08-17","tablet","0","5","44.28"
"2026-08-18","desktop","3","57","42.09"
"2026-08-18","mobile","583","1558","27.83"
"2026-08-18","tablet","0","0","36.12"
"2026-08-19","desktop","12","74","39.98"
"2026-08-19","mobile","317","1462","27.67"
"2026-08-19","tablet","0","0","36.03"
"2026-08-20","desktop","3","69","41.15"
"2026-08-20","mobile","314","1264","28.53"
"2026-08-20","tablet","0","1","39.85"
"2026-08-21","desktop","7","41","37.30"
"2026-08-21","mobile","316","1328","27.80"
"2026-08-21","tablet","0","1","47.23"
"2026-08-22","desktop","1","30","37.87"
"2026-08-22","mobile","378","1380","27.20"
"2026-08-22","tablet","0","0","39.23"
"2026-08-23","desktop","0","9","38.86"
"2026-08-23","mobile","170","1070","26.81"
"2026-08-23","tablet","0","4","54.95"
"2026-08-24","desktop","2","30","39.11"
"2026-08-24","mobile","162","982","26.96"
"2026-08-24","tablet","0","2","36.90"
"2026-08-25","desktop","0","11","42.27"
"2026-08-25","mobile","225","1087","27.30"
"2026-08-25","tablet","0","0","44.66"
"2026-08-26","desktop","1","48","40.20"
"2026-08-26","mobile","368","1239","27.03"
"2026-08-26","tablet","0","0","39.42"
"2026-08-27","desktop","0","14","35.88"
"2026-08-27","mobile","354","1160","26.58"
"2026-08-27","tablet","0","4","42.42"
"2026-08-28","desktop","0","23","33.74"
"2026-08-28","mobile","480","1343","26.30"
"2026-08-28","tablet","0","0","38.70"
"2026-08-29","desktop","2","24","33.82"
"2026-08-29","mobile","198","829","27.43"
"2026-08-29","tablet","0","0","43.35"
